stationID,Date,Time,PM2.5,PM10,O3,CO,NO2,SO2
52t,11/03/2019,07:00:00,25,45,2,1.39,14,1
52t,11/03/2019,08:00:00,26,51,7,1.24,13,1
52t,11/03/2019,09:00:00,37,55,16,0.77,11,-
52t,11/03/2019,10:00:00,34,51,31,0.64,15,1
52t,11/03/2019,11:00:00,31,53,48,0.68,17,1
52t,11/03/2019,12:00:00,34,59,66,0.6,10,1
52t,11/03/2019,13:00:00,41,59,51,0.63,9,1
52t,11/03/2019,14:00:00,27,46,52,0.59,6,1
52t,11/03/2019,15:00:00,28,45,50,0.67,9,1
52t,11/03/2019,16:00:00,30,49,38,0.78,13,1
52t,11/03/2019,17:00:00,25,50,27,0.9,19,1
52t,11/03/2019,18:00:00,25,45,22,0.95,18,-
52t,11/03/2019,19:00:00,27,51,18,0.64,6,-
52t,11/03/2019,20:00:00,22,34,11,0.59,5,-
52t,11/03/2019,21:00:00,20,27,15,0.42,-,-
52t,11/03/2019,22:00:00,16,21,14,0.42,-,-
52t,11/03/2019,23:00:00,17,24,14,0.39,-,-
52t,12/03/2019,00:00:00,15,26,12,0.4,-,-
52t,12/03/2019,01:00:00,15,25,12,0.4,-,-
52t,12/03/2019,02:00:00,12,26,11,0.41,-,-
52t,12/03/2019,03:00:00,20,30,10,0.46,-,-
52t,12/03/2019,04:00:00,18,29,-,-,-,-
52t,12/03/2019,05:00:00,18,37,2,0.9,9,1
52t,12/03/2019,06:00:00,31,49,1,1.08,9,1
52t,12/03/2019,07:00:00,41,60,3,1.33,10,1
52t,12/03/2019,08:00:00,47,71,11,1.53,34,3
52t,12/03/2019,09:00:00,96,131,32,1.38,45,5
52t,12/03/2019,10:00:00,106,135,61,1.07,35,4
52t,12/03/2019,11:00:00,91,122,77,0.74,25,2
52t,12/03/2019,12:00:00,63,82,116,0.79,25,3
52t,12/03/2019,13:00:00,66,96,124,0.89,31,3
52t,12/03/2019,14:00:00,69,98,102,0.92,25,2
52t,12/03/2019,15:00:00,65,97,69,0.8,26,2
52t,12/03/2019,16:00:00,40,64,42,0.86,26,1
52t,12/03/2019,17:00:00,27,40,26,1.01,34,2
52t,12/03/2019,18:00:00,33,50,21,0.92,27,1
52t,12/03/2019,19:00:00,32,49,33,0.77,10,-
52t,12/03/2019,20:00:00,34,51,22,0.62,8,-
52t,12/03/2019,21:00:00,33,51,24,0.5,4,-
52t,12/03/2019,22:00:00,32,46,22,0.45,3,-
52t,12/03/2019,23:00:00,24,40,20,0.42,-,-
52t,13/03/2019,00:00:00,25,38,20,0.4,-,-
52t,13/03/2019,01:00:00,26,33,19,0.4,-,-
52t,13/03/2019,02:00:00,20,36,20,0.37,-,-
52t,13/03/2019,03:00:00,22,33,-,-,-,-
52t,13/03/2019,04:00:00,24,31,15,0.51,2,-
52t,13/03/2019,05:00:00,23,35,6,0.66,9,-
52t,13/03/2019,06:00:00,28,47,4,0.84,12,-
52t,13/03/2019,07:00:00,29,52,8,0.95,9,-
52t,13/03/2019,08:00:00,29,50,15,0.84,6,-
52t,13/03/2019,09:00:00,29,49,22,0.65,6,-
52t,13/03/2019,10:00:00,24,41,30,0.6,12,-
52t,13/03/2019,11:00:00,25,44,31,0.59,5,-
52t,13/03/2019,12:00:00,25,41,38,0.52,1,-
52t,13/03/2019,13:00:00,19,35,36,0.54,1,-
52t,13/03/2019,14:00:00,20,40,32,0.58,1,-
52t,13/03/2019,15:00:00,20,39,27,0.67,5,-
52t,13/03/2019,16:00:00,18,37,26,0.7,6,-
52t,13/03/2019,17:00:00,25,44,21,0.72,3,-
52t,13/03/2019,18:00:00,16,34,15,0.76,4,-
52t,13/03/2019,19:00:00,23,37,10,0.71,4,-
52t,13/03/2019,20:00:00,26,43,9,0.58,2,-
52t,13/03/2019,21:00:00,19,31,10,0.41,1,-
52t,13/03/2019,22:00:00,19,36,10,0.39,-,-
52t,13/03/2019,23:00:00,17,32,15,0.34,-,-
52t,14/03/2019,00:00:00,16,30,19,0.33,-,-
52t,14/03/2019,01:00:00,15,25,19,0.33,-,-
52t,14/03/2019,02:00:00,10,28,-,-,-,-
52t,14/03/2019,03:00:00,19,31,15,0.38,-,-
52t,14/03/2019,04:00:00,15,31,11,0.46,1,-
52t,14/03/2019,05:00:00,23,37,7,0.61,5,-
52t,14/03/2019,06:00:00,22,39,3,0.87,10,-
52t,14/03/2019,07:00:00,29,45,6,1.1,11,-
52t,14/03/2019,08:00:00,29,48,10,0.97,10,-
52t,14/03/2019,09:00:00,27,46,20,0.63,5,-
52t,14/03/2019,10:00:00,24,44,27,0.51,1,-
52t,14/03/2019,11:00:00,26,44,26,0.51,1,-
52t,14/03/2019,12:00:00,26,42,29,0.47,1,-
52t,14/03/2019,13:00:00,19,37,29,0.48,1,-
52t,14/03/2019,14:00:00,20,36,28,0.5,4,-
52t,14/03/2019,15:00:00,17,32,29,0.53,1,-
52t,14/03/2019,16:00:00,21,41,28,0.54,2,-
52t,14/03/2019,17:00:00,20,36,22,0.53,1,-
52t,14/03/2019,18:00:00,12,26,14,0.62,3,-
52t,14/03/2019,19:00:00,14,25,11,0.58,6,-
52t,14/03/2019,20:00:00,14,26,12,0.47,3,-
52t,14/03/2019,21:00:00,13,28,11,0.39,1,-
52t,14/03/2019,22:00:00,7,25,11,0.36,-,-
52t,14/03/2019,23:00:00,7,22,13,0.3,-,-
